Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,23,0.5,auto,0.45484416560878
100% Corpus,23,0.6,0.15,0.5127141822508063
100% Corpus,23,0.6,0.2,0.5135867817959011
100% Corpus,23,0.6,0.5,0.49143360920745244
100% Corpus,23,0.6,0.7,0.5426489232878826
100% Corpus,23,0.6,0.9,0.6003485439948584
100% Corpus,23,0.6,1.5,0.634650879562039
100% Corpus,23,0.6,auto,0.46333254105727645
100% Corpus,23,0.7,0.15,0.5175461918468139
100% Corpus,23,0.7,0.2,0.5214152050387032
100% Corpus,23,0.7,0.5,0.49752705127785823
100% Corpus,23,0.7,0.7,0.6076678679094283
100% Corpus,23,0.7,0.9,0.623648660378057
100% Corpus,23,0.7,1.5,0.6166853907426949
100% Corpus,23,0.7,auto,0.49613417811408583
100% Corpus,23,0.9,0.15,0.5079372406936158
100% Corpus,23,0.9,0.2,0.4905625027261338
100% Corpus,23,0.9,0.5,0.6094763155223468
100% Corpus,23,0.9,0.7,0.6531725035106818
100% Corpus,23,0.9,0.9,0.6282390740520812
100% Corpus,23,0.9,1.5,0.5804692756845469
100% Corpus,23,0.9,auto,0.4643527719092581
100% Corpus,23,1.5,0.15,0.4934358013520848
100% Corpus,23,1.5,0.2,0.49671111217085323
100% Corpus,23,1.5,0.5,0.4673641292441087
100% Corpus,23,1.5,0.7,0.49470291655976184
100% Corpus,23,1.5,0.9,0.45577098448146364
100% Corpus,23,1.5,1.5,0.4242389456369303
100% Corpus,23,1.5,auto,0.467716837571462
100% Corpus,23,1.75,0.15,0.4883224371259311
100% Corpus,23,1.75,0.2,0.4931425253627126
100% Corpus,23,1.75,0.5,0.47510720331860157
100% Corpus,23,1.75,0.7,0.45663835929270213
100% Corpus,23,1.75,0.9,0.4460379553729632
100% Corpus,23,1.75,1.5,0.3842297307542609
100% Corpus,23,1.75,auto,0.4594707217275459
100% Corpus,23,auto,0.15,0.5032844256959477
100% Corpus,23,auto,0.2,0.48834179372454684
100% Corpus,23,auto,0.5,0.48992986514303316
100% Corpus,23,auto,0.7,0.48970019862823105
100% Corpus,23,auto,0.9,
100% Corpus,23,auto,1.5,
100% Corpus,23,auto,auto,0.42487820774885693
100% Corpus,25,0.15,0.15,0.42905256000991104
100% Corpus,25,0.15,0.2,0.43098814826570586
100% Corpus,25,0.15,0.5,0.4863614882440884
100% Corpus,25,0.15,0.7,0.5186603524362464
100% Corpus,25,0.15,0.9,0.5772068532102834
100% Corpus,25,0.15,1.5,0.565783031447962
100% Corpus,25,0.15,auto,0.4237375825916201
100% Corpus,25,0.2,0.15,0.44081527181151875
100% Corpus,25,0.2,0.2,0.432068109353559
100% Corpus,25,0.2,0.5,0.4748631702751402
100% Corpus,25,0.2,0.7,0.5069412346993056
100% Corpus,25,0.2,0.9,0.5782378465379086
100% Corpus,25,0.2,1.5,0.566170639214293
100% Corpus,25,0.2,auto,0.42085651837320515
100% Corpus,25,0.5,0.15,0.47558084585349086
100% Corpus,25,0.5,0.2,0.4765644889301432
100% Corpus,25,0.5,0.5,0.4786878235282846
100% Corpus,25,0.5,0.7,0.5270998265081908
100% Corpus,25,0.5,0.9,0.5344582612386901
100% Corpus,25,0.5,1.5,0.6537397667471923
100% Corpus,25,0.5,auto,0.44842305158157963
100% Corpus,25,0.6,0.15,0.5096742921333374
100% Corpus,25,0.6,0.2,0.5032359741463148
100% Corpus,25,0.6,0.5,0.4800907359374343
100% Corpus,25,0.6,0.7,0.5843427012157064
100% Corpus,25,0.6,0.9,0.626263902680043
100% Corpus,25,0.6,1.5,0.6766048424377813
100% Corpus,25,0.6,auto,0.44733709330648663
100% Corpus,25,0.7,0.15,0.5167016422665062
100% Corpus,25,0.7,0.2,0.5338323960733133
100% Corpus,25,0.7,0.5,0.5438425836603183
100% Corpus,25,0.7,0.7,0.619533134298605
100% Corpus,25,0.7,0.9,0.6432505475099246
100% Corpus,25,0.7,1.5,0.593424166639864
100% Corpus,25,0.7,auto,0.4732337604622645
100% Corpus,25,0.9,0.15,0.48088132927856947
100% Corpus,25,0.9,0.2,0.4782557992973121
100% Corpus,25,0.9,0.5,0.6033398512407616
100% Corpus,25,0.9,0.7,0.626194415985658
100% Corpus,25,0.9,0.9,0.5909687559723619
100% Corpus,25,0.9,1.5,0.5129083921360885
100% Corpus,25,0.9,auto,0.44472380617054724
100% Corpus,25,1.5,0.15,0.48097565442018947
100% Corpus,25,1.5,0.2,0.4787927646294922
100% Corpus,25,1.5,0.5,0.4608728864674132
100% Corpus,25,1.5,0.7,0.4778582146765503
100% Corpus,25,1.5,0.9,0.4080396354178459
100% Corpus,25,1.5,1.5,0.4242015289117356
100% Corpus,25,1.5,auto,0.4427663384140332
